timestamp,eID,objectVersion,classID,sensorMeasures,sensorConfig,Realtime,Livetime,Spectrum_length,Spectrum_sum,Spectrum_max,Total,Countrate,Cosmics,vT,datetime
1749562294024.0,SPECTRO_4112,,,,,0.202,0.202,512.0,19.0,2.0,19.0,94.0,0.0,1749562294024.0,2025-06-10 13:31:34.024
1749562294223.0,SPECTRO_4112,,,,,0.198,0.198,512.0,31.0,3.0,31.0,157.0,1.0,1749562294223.0,2025-06-10 13:31:34.223
1749562294424.0,SPECTRO_4112,,,,,0.2,0.2,512.0,23.0,2.0,23.0,115.0,1.0,1749562294424.0,2025-06-10 13:31:34.424
1749562294623.0,SPECTRO_4112,,,,,0.199,0.199,512.0,34.0,2.0,34.0,171.0,2.0,1749562294623.0,2025-06-10 13:31:34.623
1749562294824.0,SPECTRO_4112,,,,,0.2,0.2,512.0,20.0,2.0,20.0,100.0,0.0,1749562294824.0,2025-06-10 13:31:34.824
1749562295026.0,SPECTRO_4112,,,,,0.203,0.203,512.0,27.0,2.0,27.0,133.0,0.0,1749562295026.0,2025-06-10 13:31:35.026
1749562295225.0,SPECTRO_4112,,,,,0.197,0.197,512.0,38.0,3.0,38.0,193.0,1.0,1749562295225.0,2025-06-10 13:31:35.225
1749562295425.0,SPECTRO_4112,,,,,0.2,0.2,512.0,28.0,3.0,28.0,140.0,0.0,1749562295425.0,2025-06-10 13:31:35.425
1749562295625.0,SPECTRO_4112,,,,,0.199,0.199,512.0,27.0,3.0,27.0,136.0,1.0,1749562295625.0,2025-06-10 13:31:35.625
1749562295826.0,SPECTRO_4112,,,,,0.2,0.2,512.0,26.0,2.0,26.0,130.0,0.0,1749562295826.0,2025-06-10 13:31:35.826
1749562296029.0,SPECTRO_4112,,,,,0.202,0.202,512.0,18.0,3.0,18.0,89.0,0.0,1749562296029.0,2025-06-10 13:31:36.029
1749562296228.0,SPECTRO_4112,,,,,0.198,0.198,512.0,28.0,2.0,28.0,141.0,0.0,1749562296228.0,2025-06-10 13:31:36.228
1749562296427.0,SPECTRO_4112,,,,,0.199,0.199,512.0,27.0,2.0,27.0,136.0,0.0,1749562296427.0,2025-06-10 13:31:36.427
1749562296628.0,SPECTRO_4112,,,,,0.201,0.201,512.0,23.0,2.0,23.0,114.0,0.0,1749562296628.0,2025-06-10 13:31:36.628
1749562296829.0,SPECTRO_4112,,,,,0.2,0.2,512.0,25.0,2.0,25.0,125.0,0.0,1749562296829.0,2025-06-10 13:31:36.829
1749562297029.0,SPECTRO_4112,,,,,0.199,0.199,512.0,28.0,2.0,28.0,141.0,2.0,1749562297029.0,2025-06-10 13:31:37.029
1749562297230.0,SPECTRO_4112,,,,,0.2,0.2,512.0,26.0,3.0,26.0,130.0,0.0,1749562297230.0,2025-06-10 13:31:37.230
1749562297431.0,SPECTRO_4112,,,,,0.2,0.2,512.0,28.0,2.0,28.0,140.0,0.0,1749562297431.0,2025-06-10 13:31:37.431
1749562297630.0,SPECTRO_4112,,,,,0.199,0.199,512.0,21.0,3.0,21.0,106.0,0.0,1749562297630.0,2025-06-10 13:31:37.630
1749562297830.0,SPECTRO_4112,,,,,0.199,0.199,512.0,24.0,4.0,24.0,121.0,0.0,1749562297830.0,2025-06-10 13:31:37.830
1749562298032.0,SPECTRO_4112,,,,,0.202,0.202,512.0,23.0,3.0,23.0,114.0,0.0,1749562298032.0,2025-06-10 13:31:38.032
1749562298231.0,SPECTRO_4112,,,,,0.198,0.198,512.0,22.0,2.0,22.0,111.0,0.0,1749562298231.0,2025-06-10 13:31:38.231
1749562298431.0,SPECTRO_4112,,,,,0.2,0.2,512.0,26.0,3.0,26.0,130.0,1.0,1749562298431.0,2025-06-10 13:31:38.431
1749562298631.0,SPECTRO_4112,,,,,0.199,0.199,512.0,27.0,2.0,27.0,136.0,0.0,1749562298631.0,2025-06-10 13:31:38.631
1749562298834.0,SPECTRO_4112,,,,,0.202,0.202,512.0,33.0,2.0,33.0,163.0,0.0,1749562298834.0,2025-06-10 13:31:38.834
1749562299031.0,SPECTRO_4112,,,,,0.197,0.197,512.0,27.0,2.0,27.0,137.0,0.0,1749562299031.0,2025-06-10 13:31:39.031
1749562299231.0,SPECTRO_4112,,,,,0.199,0.199,512.0,32.0,3.0,32.0,161.0,0.0,1749562299231.0,2025-06-10 13:31:39.231
1749562299431.0,SPECTRO_4112,,,,,0.199,0.199,512.0,23.0,2.0,23.0,116.0,0.0,1749562299431.0,2025-06-10 13:31:39.431
1749562299633.0,SPECTRO_4112,,,,,0.205,0.205,512.0,17.0,2.0,17.0,83.0,0.0,1749562299633.0,2025-06-10 13:31:39.633
1749562299831.0,SPECTRO_4112,,,,,0.195,0.195,512.0,23.0,3.0,23.0,118.0,1.0,1749562299831.0,2025-06-10 13:31:39.831
